Street Name,Latitude,Longitude,Safety Rating,Number of Crimes,Street Type,Traffic Level,Lighting Quality,CCTV Coverage,Distance to Nearest Police Station (km),Pedestrian Activity,Nearby Public Spaces,Crime Severity Index,Police Patrolling Frequency,Most Common Crime Types
Commercial Street 1542,12.94314,77.575846,2,19,Commercial,High,Poor,High,3.4,Moderate,Playground,2.2,Rare,Theft
Bannerghatta Road 1543,12.94507,77.663526,3,40,Residential,Moderate,Moderate,Medium,0.9,High,Playground,6.6,Rare,Assault
Bannerghatta Road 1544,12.910721,77.558636,1,48,Mixed-use,High,Good,Medium,5.0,High,Market,2.9,Rare,Harassment
Indiranagar 100 Feet Road 1545,12.902121,77.615987,4,47,Residential,Moderate,Moderate,Medium,0.5,High,Park,7.6,Rare,Assault
Jayanagar 4th Block 1546,12.986312,77.611839,2,21,Industrial,Moderate,Moderate,High,1.1,Low,Playground,3.8,Frequent,Theft
Whitefield Main Road 1547,12.907012,77.611226,5,31,Industrial,Moderate,Moderate,Low,4.0,Low,Park,7.1,Occasional,Vandalism
Church Street 1548,12.873276,77.607201,2,46,Mixed-use,High,Poor,Medium,2.8,Low,Park,3.6,Frequent,Harassment
Jayanagar 4th Block 1549,12.859729,77.672299,4,16,Industrial,Moderate,Moderate,Low,1.1,High,None,1.6,Frequent,Assault
HSR Layout 1550,12.975191,77.580872,2,6,Residential,High,Moderate,High,0.9,Low,Market,4.9,Frequent,Assault
Church Street 1551,12.897262,77.577933,3,14,Commercial,High,Moderate,Low,1.2,Moderate,Mall,2.0,Occasional,Assault
Jayanagar 4th Block 1552,12.925662,77.632412,3,9,Residential,Low,Poor,High,3.8,High,Playground,9.5,Rare,Theft
BTM Layout 1553,12.934651,77.604235,5,23,Industrial,High,Good,Low,1.1,Moderate,Playground,9.9,Frequent,Harassment
MG Road 1554,12.947243,77.634364,5,1,Industrial,Moderate,Moderate,Medium,3.1,Moderate,None,2.3,Rare,Theft
Whitefield Main Road 1555,12.891922,77.637082,5,11,Commercial,High,Poor,Medium,2.8,High,Mall,9.7,Rare,Theft
Church Street 1556,12.931028,77.570602,5,40,Industrial,Moderate,Moderate,Medium,4.3,Low,Park,9.8,Occasional,Robbery
Church Street 1557,12.863372,77.590349,4,26,Commercial,Moderate,Poor,Low,1.3,Moderate,Mall,5.3,Rare,Vandalism
Whitefield Main Road 1558,12.908781,77.584111,5,7,Residential,High,Good,Medium,3.0,High,Mall,9.8,Occasional,Robbery
HSR Layout 1559,12.876292,77.526533,4,5,Industrial,High,Good,High,3.9,Low,Park,7.2,Frequent,Theft
Koramangala 1st Block 1560,12.983095,77.548344,1,30,Commercial,Moderate,Good,Low,3.0,High,None,9.7,Occasional,Assault
Bannerghatta Road 1561,12.992099,77.545164,1,22,Residential,Moderate,Poor,Low,5.0,Low,Playground,2.8,Occasional,Assault
Church Street 1562,12.981093,77.521791,4,18,Industrial,Low,Good,Low,0.8,Moderate,Mall,9.0,Frequent,Robbery
Commercial Street 1563,12.866418,77.586619,1,12,Mixed-use,Low,Poor,High,3.7,Moderate,None,6.5,Occasional,Assault
Commercial Street 1564,12.877858,77.643395,3,33,Commercial,Low,Good,Medium,4.5,High,None,5.8,Occasional,Assault
Jayanagar 4th Block 1565,12.860073,77.528956,2,30,Mixed-use,Moderate,Poor,High,4.4,Moderate,Market,2.6,Frequent,Assault
Indiranagar 100 Feet Road 1566,12.855554,77.613377,1,42,Residential,Low,Poor,High,2.2,Moderate,Playground,2.3,Rare,Robbery
Whitefield Main Road 1567,12.951477,77.570744,3,2,Commercial,Moderate,Poor,High,1.2,Low,Market,4.0,Occasional,Vandalism
Indiranagar 100 Feet Road 1568,12.906302,77.674203,2,34,Residential,Moderate,Good,High,3.4,Moderate,Market,8.8,Frequent,Assault
Commercial Street 1569,12.893417,77.517289,3,28,Residential,Moderate,Moderate,High,3.8,High,Mall,4.2,Frequent,Robbery
Koramangala 1st Block 1570,12.856004,77.520642,3,5,Mixed-use,High,Good,Medium,4.3,High,Mall,9.5,Frequent,Theft
Bannerghatta Road 1571,12.88221,77.683241,1,0,Residential,Moderate,Moderate,Medium,4.1,High,Playground,3.7,Occasional,Vandalism
BTM Layout 1572,12.862018,77.600525,2,19,Mixed-use,Moderate,Good,Low,4.6,Moderate,Market,4.8,Frequent,Harassment
BTM Layout 1573,12.953959,77.661169,4,13,Industrial,Low,Poor,Low,3.3,Low,None,4.3,Occasional,Assault
Koramangala 1st Block 1574,12.858946,77.510679,4,25,Commercial,Moderate,Moderate,Medium,3.1,Low,Market,2.8,Rare,Theft
MG Road 1575,12.860198,77.534344,2,42,Mixed-use,High,Good,Low,4.6,Moderate,Market,6.8,Frequent,Vandalism
Brigade Road 1576,12.877262,77.689849,5,28,Commercial,Low,Moderate,Medium,4.3,Moderate,Park,2.5,Rare,Harassment
HSR Layout 1577,12.900709,77.698835,2,50,Commercial,High,Good,Low,1.3,Low,None,2.5,Frequent,Harassment
MG Road 1578,12.891153,77.680263,2,2,Industrial,Low,Good,High,1.8,Moderate,Mall,9.2,Frequent,Theft
Koramangala 1st Block 1579,12.855674,77.655613,2,13,Residential,Moderate,Poor,Low,4.1,Low,Mall,6.6,Rare,Robbery
Whitefield Main Road 1580,12.911474,77.616041,2,37,Commercial,Moderate,Moderate,Medium,2.0,High,Playground,1.7,Frequent,Vandalism
MG Road 1581,12.926987,77.552896,3,12,Mixed-use,Low,Poor,Low,0.7,Low,Market,6.4,Occasional,Vandalism
HSR Layout 1582,12.917713,77.616355,4,13,Residential,Low,Good,Medium,1.1,High,Park,6.8,Rare,Vandalism
MG Road 1583,12.940539,77.63375,5,24,Commercial,High,Poor,High,2.9,Moderate,None,5.7,Occasional,Robbery
Whitefield Main Road 1584,12.932878,77.691766,4,43,Mixed-use,Moderate,Moderate,Low,1.2,High,Mall,7.0,Rare,Theft
Bannerghatta Road 1585,12.885789,77.632741,1,20,Mixed-use,Low,Moderate,Low,4.0,Low,Mall,8.4,Rare,Harassment
Indiranagar 100 Feet Road 1586,12.965002,77.5993,2,36,Residential,Moderate,Poor,Medium,4.5,Moderate,Mall,1.6,Occasional,Assault
BTM Layout 1587,12.885064,77.515398,4,8,Residential,High,Good,High,4.6,Moderate,None,2.7,Rare,Theft
Bannerghatta Road 1588,12.905128,77.560017,3,33,Mixed-use,High,Good,Medium,1.6,High,Park,1.1,Occasional,Robbery
Commercial Street 1589,12.901506,77.692885,1,2,Mixed-use,High,Good,Low,1.6,High,None,6.2,Rare,Assault
Commercial Street 1590,12.961359,77.564942,2,15,Commercial,High,Good,High,2.1,Moderate,None,6.6,Frequent,Harassment
HSR Layout 1591,12.856266,77.674783,3,29,Commercial,Moderate,Poor,Low,2.6,Low,Market,3.4,Frequent,Assault
MG Road 1592,12.935553,77.530521,4,23,Commercial,Moderate,Moderate,Low,4.2,High,Market,8.2,Rare,Robbery
Bannerghatta Road 1593,12.907948,77.646879,1,19,Industrial,High,Poor,Medium,1.9,Moderate,Playground,4.8,Rare,Assault
HSR Layout 1594,12.972927,77.526705,2,43,Mixed-use,Moderate,Moderate,Medium,4.0,Low,Mall,4.0,Occasional,Harassment
Church Street 1595,12.951812,77.696586,5,21,Commercial,Low,Moderate,High,4.4,High,Playground,7.6,Rare,Assault
Indiranagar 100 Feet Road 1596,12.998575,77.512488,3,21,Industrial,Moderate,Good,High,0.6,Low,Mall,2.1,Rare,Assault
Commercial Street 1597,12.999861,77.540039,2,20,Residential,High,Good,High,3.2,Moderate,Park,4.1,Rare,Robbery
Bannerghatta Road 1598,12.902302,77.62834,4,19,Residential,Low,Moderate,Low,1.1,Low,None,2.6,Rare,Harassment
HSR Layout 1599,12.950629,77.526013,4,6,Mixed-use,Low,Poor,Low,3.4,Moderate,Market,7.5,Frequent,Harassment
Bannerghatta Road 1600,12.970952,77.663183,4,41,Residential,Low,Poor,Low,3.5,Low,None,3.5,Frequent,Robbery
Brigade Road 1601,12.957395,77.501961,5,42,Residential,High,Good,High,4.7,Low,Mall,2.6,Frequent,Theft
HSR Layout 1602,12.995006,77.531636,2,24,Residential,Moderate,Moderate,Low,0.9,High,None,8.3,Rare,Vandalism
Jayanagar 4th Block 1603,12.875719,77.522041,2,38,Commercial,Moderate,Good,Medium,1.3,High,Playground,2.1,Frequent,Harassment
Church Street 1604,12.958112,77.530147,3,42,Industrial,High,Moderate,Low,4.7,Low,Mall,2.2,Occasional,Vandalism
BTM Layout 1605,12.982464,77.633867,5,47,Residential,Low,Good,Low,3.7,Moderate,Park,3.2,Occasional,Theft
MG Road 1606,12.927317,77.58873,3,32,Mixed-use,High,Moderate,Medium,1.9,Low,Playground,3.1,Frequent,Assault
Indiranagar 100 Feet Road 1607,12.989943,77.515507,2,39,Residential,Low,Moderate,Medium,3.4,Moderate,None,2.7,Frequent,Theft
Commercial Street 1608,12.97561,77.542035,2,49,Residential,Moderate,Moderate,Low,2.9,High,Park,8.5,Rare,Robbery
Brigade Road 1609,12.965066,77.567135,5,49,Mixed-use,High,Good,Medium,1.0,High,Mall,5.1,Occasional,Vandalism
Church Street 1610,12.857405,77.622279,5,6,Residential,Low,Poor,Medium,1.3,Moderate,Market,6.3,Rare,Vandalism
Church Street 1611,12.987581,77.653172,1,10,Residential,Low,Good,Medium,1.8,Low,Playground,4.4,Occasional,Assault
HSR Layout 1612,12.922296,77.596306,3,7,Commercial,Moderate,Moderate,Low,0.7,Low,Market,1.5,Frequent,Robbery
MG Road 1613,12.894683,77.547363,4,27,Commercial,Moderate,Good,Medium,4.5,High,Mall,4.0,Frequent,Vandalism
Church Street 1614,12.881857,77.650295,3,29,Mixed-use,Low,Moderate,Medium,4.4,Low,Park,7.0,Rare,Theft
Bannerghatta Road 1615,12.891468,77.61702,5,37,Commercial,Moderate,Good,High,0.7,Moderate,Park,7.2,Rare,Vandalism
Commercial Street 1616,12.865132,77.515479,1,2,Commercial,Low,Good,High,2.9,High,Mall,9.4,Occasional,Harassment
Koramangala 1st Block 1617,12.935713,77.500431,2,40,Commercial,Moderate,Poor,Low,2.1,High,Park,2.2,Occasional,Harassment
Koramangala 1st Block 1618,12.982657,77.634725,2,28,Residential,High,Good,Medium,2.7,High,Market,1.0,Occasional,Harassment
Brigade Road 1619,12.896221,77.513383,5,18,Mixed-use,Low,Poor,Low,4.2,Low,Market,8.3,Occasional,Harassment
Church Street 1620,12.990059,77.681477,5,4,Commercial,Low,Good,Medium,4.1,High,Mall,4.8,Frequent,Harassment
Commercial Street 1621,12.965805,77.598642,5,50,Industrial,Moderate,Good,Low,3.3,High,Mall,4.1,Occasional,Assault
Jayanagar 4th Block 1622,12.995589,77.551886,4,27,Industrial,High,Moderate,High,4.8,Moderate,None,2.5,Frequent,Theft
BTM Layout 1623,12.923687,77.610072,3,41,Mixed-use,High,Poor,Low,4.0,High,Park,9.4,Rare,Robbery
Koramangala 1st Block 1624,12.999065,77.692718,4,18,Commercial,Moderate,Moderate,High,0.7,Low,Market,4.7,Occasional,Harassment
BTM Layout 1625,12.912295,77.505854,5,27,Mixed-use,Low,Moderate,High,1.3,High,Market,1.3,Rare,Harassment
HSR Layout 1626,12.864161,77.609661,2,15,Industrial,Low,Good,Medium,1.4,High,Mall,4.4,Rare,Robbery
MG Road 1627,12.905982,77.606291,4,3,Commercial,Low,Good,High,4.5,Low,Park,4.4,Frequent,Harassment
Indiranagar 100 Feet Road 1628,12.88152,77.689816,3,21,Residential,Low,Moderate,High,2.6,Low,None,4.9,Occasional,Robbery
Koramangala 1st Block 1629,12.902342,77.678811,4,4,Residential,High,Poor,Low,4.6,Moderate,Market,2.0,Occasional,Robbery
Jayanagar 4th Block 1630,12.921954,77.539752,1,2,Mixed-use,High,Poor,Low,4.3,Moderate,None,3.1,Frequent,Harassment
MG Road 1631,12.893106,77.57003,5,10,Industrial,Low,Good,High,2.9,High,None,8.4,Occasional,Vandalism
HSR Layout 1632,12.863013,77.631189,2,18,Industrial,Moderate,Good,High,2.2,Low,Playground,8.8,Rare,Assault
Bannerghatta Road 1633,12.957857,77.62312,1,30,Industrial,Moderate,Poor,Medium,5.0,High,Playground,9.1,Rare,Harassment
Whitefield Main Road 1634,12.887849,77.594003,3,47,Mixed-use,Low,Poor,High,3.4,High,Playground,9.7,Occasional,Vandalism
Commercial Street 1635,12.999957,77.672112,3,6,Industrial,High,Good,Medium,3.2,Moderate,None,5.6,Occasional,Robbery
Jayanagar 4th Block 1636,12.920041,77.666532,5,25,Residential,Low,Poor,High,3.1,Moderate,Playground,9.7,Rare,Theft
HSR Layout 1637,12.951158,77.623941,1,10,Residential,Moderate,Good,Medium,3.0,Moderate,Playground,5.0,Frequent,Vandalism
BTM Layout 1638,12.899392,77.550365,4,17,Residential,Moderate,Good,High,5.0,Moderate,None,5.9,Frequent,Theft
HSR Layout 1639,12.964001,77.594677,5,7,Industrial,Low,Moderate,Low,2.5,Low,Playground,6.6,Occasional,Robbery
Bannerghatta Road 1640,12.960945,77.542533,4,16,Mixed-use,Moderate,Moderate,Medium,3.0,Moderate,Playground,3.7,Frequent,Assault
Commercial Street 1641,12.937345,77.615033,1,10,Industrial,Low,Moderate,Medium,2.0,Low,None,1.6,Rare,Robbery
Bannerghatta Road 1642,12.950398,77.679931,4,34,Mixed-use,Moderate,Poor,High,1.9,Low,Mall,2.3,Frequent,Vandalism
Indiranagar 100 Feet Road 1643,12.872098,77.569017,3,13,Commercial,High,Good,High,1.1,Low,Mall,5.6,Occasional,Assault
Brigade Road 1644,12.916024,77.61533,5,0,Commercial,Moderate,Moderate,High,4.6,Moderate,Park,2.9,Occasional,Vandalism
BTM Layout 1645,12.911775,77.599821,3,26,Industrial,Moderate,Moderate,Low,4.7,Low,None,4.2,Rare,Robbery
Whitefield Main Road 1646,12.907496,77.616671,5,22,Industrial,High,Moderate,Medium,4.5,Moderate,Playground,4.3,Occasional,Assault
Brigade Road 1647,12.970892,77.59671,2,6,Residential,High,Moderate,Medium,4.3,Low,Mall,6.3,Frequent,Harassment
Bannerghatta Road 1648,12.880374,77.599357,4,22,Mixed-use,Moderate,Good,High,2.8,Low,Market,9.5,Frequent,Vandalism
Jayanagar 4th Block 1649,12.996543,77.572857,2,19,Industrial,Low,Good,High,2.1,Low,Mall,3.5,Occasional,Robbery
Whitefield Main Road 1650,12.978377,77.637361,3,46,Residential,Low,Poor,Medium,0.8,Moderate,Playground,2.2,Occasional,Harassment
Jayanagar 4th Block 1651,12.981987,77.698029,5,5,Commercial,Low,Poor,Low,0.6,Moderate,Mall,6.6,Occasional,Robbery
Whitefield Main Road 1652,12.969945,77.616308,3,23,Commercial,Low,Moderate,High,2.3,High,Market,3.2,Occasional,Theft
Bannerghatta Road 1653,12.973483,77.696352,2,22,Industrial,High,Poor,High,3.1,Moderate,Market,3.7,Frequent,Assault
Jayanagar 4th Block 1654,12.887719,77.617273,5,30,Mixed-use,Moderate,Good,High,2.2,Low,Park,7.7,Frequent,Vandalism
Jayanagar 4th Block 1655,12.980293,77.580985,4,33,Industrial,Low,Good,Medium,4.5,Moderate,Playground,2.2,Rare,Vandalism
Brigade Road 1656,12.95353,77.570079,3,13,Residential,Low,Moderate,High,0.7,High,Park,9.5,Occasional,Theft
Jayanagar 4th Block 1657,12.859831,77.668413,2,26,Industrial,High,Poor,Low,3.8,Low,Playground,3.6,Occasional,Harassment
BTM Layout 1658,12.914826,77.579104,1,45,Residential,High,Good,Medium,4.9,Moderate,None,9.8,Rare,Robbery
HSR Layout 1659,12.965516,77.634151,3,6,Mixed-use,High,Moderate,Low,1.4,Moderate,Market,2.4,Frequent,Theft
Brigade Road 1660,12.987133,77.546442,1,34,Mixed-use,Low,Good,High,1.9,Low,None,5.7,Frequent,Assault
Whitefield Main Road 1661,12.976176,77.635,2,4,Mixed-use,Moderate,Poor,Low,0.8,High,Market,8.3,Occasional,Assault
BTM Layout 1662,12.882592,77.638053,3,13,Mixed-use,High,Poor,High,2.9,Low,Park,7.8,Frequent,Vandalism
Indiranagar 100 Feet Road 1663,12.946372,77.681437,5,18,Mixed-use,Moderate,Poor,Medium,3.7,Moderate,Playground,3.6,Frequent,Robbery
Koramangala 1st Block 1664,12.935512,77.656602,5,34,Commercial,High,Moderate,High,2.5,Moderate,Market,3.8,Frequent,Vandalism
Brigade Road 1665,12.875881,77.579649,2,30,Industrial,High,Moderate,Low,1.5,Moderate,None,6.2,Occasional,Theft
Brigade Road 1666,12.927324,77.510426,4,24,Commercial,Moderate,Good,Medium,4.8,High,Park,3.0,Frequent,Theft
Church Street 1667,12.852315,77.606634,2,45,Residential,Moderate,Moderate,Medium,3.8,Low,Mall,2.1,Frequent,Assault
HSR Layout 1668,12.985685,77.615593,3,21,Mixed-use,High,Good,Medium,3.9,Moderate,Mall,4.3,Occasional,Assault
MG Road 1669,12.895363,77.614285,5,4,Residential,Moderate,Moderate,Low,4.2,High,Market,1.6,Occasional,Harassment
BTM Layout 1670,12.976667,77.599527,3,0,Industrial,Moderate,Poor,Medium,1.6,Moderate,Playground,9.1,Rare,Vandalism
Indiranagar 100 Feet Road 1671,12.877561,77.578502,3,17,Industrial,High,Good,Medium,2.4,High,None,4.9,Frequent,Theft
MG Road 1672,12.850782,77.541322,4,47,Mixed-use,Moderate,Good,Medium,2.5,Low,Park,9.6,Frequent,Robbery
Jayanagar 4th Block 1673,12.961822,77.640715,2,46,Mixed-use,High,Good,Low,4.1,Low,None,1.9,Occasional,Vandalism
Brigade Road 1674,12.877231,77.613185,3,32,Mixed-use,Moderate,Poor,Medium,3.2,Moderate,Playground,2.3,Frequent,Vandalism
Indiranagar 100 Feet Road 1675,12.875465,77.524399,3,40,Industrial,Low,Good,Low,4.6,Low,Mall,4.7,Rare,Robbery
MG Road 1676,12.94949,77.619079,4,48,Industrial,Low,Good,High,0.6,High,Park,4.7,Occasional,Harassment
Church Street 1677,12.98219,77.619999,3,4,Commercial,Moderate,Good,Low,2.6,Low,Park,7.8,Occasional,Theft
HSR Layout 1678,12.97554,77.513928,5,39,Commercial,Moderate,Poor,High,1.7,Low,None,4.0,Rare,Robbery
Brigade Road 1679,12.898009,77.602811,5,28,Residential,Moderate,Good,High,2.1,Low,Mall,7.0,Rare,Theft
Indiranagar 100 Feet Road 1680,12.929443,77.690838,5,40,Mixed-use,Low,Good,High,3.5,Moderate,Mall,7.6,Frequent,Vandalism
Brigade Road 1681,12.85933,77.697152,3,10,Commercial,Low,Moderate,Medium,1.1,High,Playground,6.9,Occasional,Theft
BTM Layout 1682,12.955021,77.670573,1,3,Industrial,Low,Moderate,Low,0.8,Low,Market,5.7,Rare,Robbery
Bannerghatta Road 1683,12.984229,77.630789,1,16,Residential,High,Moderate,Medium,3.2,Moderate,Mall,1.8,Rare,Robbery
Jayanagar 4th Block 1684,12.901618,77.623993,2,28,Mixed-use,Moderate,Good,Low,4.5,Low,Playground,5.3,Frequent,Vandalism
Bannerghatta Road 1685,12.915127,77.50831,2,30,Residential,Low,Poor,Low,3.3,Moderate,Park,4.1,Rare,Harassment
BTM Layout 1686,12.986363,77.567263,5,33,Commercial,Moderate,Good,Low,2.4,Moderate,Mall,7.2,Rare,Robbery
Koramangala 1st Block 1687,12.882682,77.696218,2,35,Residential,Moderate,Good,Low,2.6,High,Mall,7.9,Frequent,Assault
Whitefield Main Road 1688,12.916532,77.544968,5,40,Mixed-use,Moderate,Good,Low,3.3,Moderate,Playground,10.0,Rare,Assault
Bannerghatta Road 1689,12.878849,77.533232,1,23,Commercial,Low,Poor,Medium,2.1,High,Market,1.6,Frequent,Vandalism
Whitefield Main Road 1690,12.949762,77.509716,4,6,Residential,Moderate,Good,High,0.9,Low,Market,7.4,Occasional,Theft
Brigade Road 1691,12.95169,77.567087,5,10,Residential,Low,Good,Low,3.2,Low,None,6.5,Frequent,Theft
HSR Layout 1692,12.993063,77.619699,5,33,Commercial,High,Moderate,High,3.4,Moderate,Market,9.1,Rare,Harassment
Koramangala 1st Block 1693,12.945307,77.654313,1,37,Residential,Moderate,Poor,Low,1.3,Moderate,Mall,2.3,Rare,Harassment
HSR Layout 1694,12.925152,77.604693,2,27,Residential,Moderate,Good,High,3.0,High,Playground,2.6,Rare,Robbery
Brigade Road 1695,12.960201,77.682634,1,28,Mixed-use,High,Moderate,High,1.4,High,Market,4.6,Frequent,Theft
Church Street 1696,12.889597,77.565679,4,36,Residential,Low,Poor,Low,0.6,Moderate,Market,4.4,Frequent,Harassment
Brigade Road 1697,12.977066,77.580476,2,30,Industrial,Moderate,Poor,Low,2.4,Low,Market,9.6,Frequent,Assault
BTM Layout 1698,12.869512,77.516768,5,40,Residential,Moderate,Good,Medium,4.4,Moderate,Park,2.1,Rare,Robbery
BTM Layout 1699,12.942322,77.591205,5,49,Residential,Low,Moderate,Medium,0.5,Moderate,None,1.5,Frequent,Theft
HSR Layout 1700,12.85011,77.678326,2,18,Commercial,Low,Moderate,High,1.4,High,Market,5.9,Occasional,Theft
Indiranagar 100 Feet Road 1701,12.912157,77.518104,3,24,Residential,Moderate,Poor,High,2.6,High,Market,4.0,Rare,Robbery
Brigade Road 1702,12.852561,77.523503,2,42,Industrial,Low,Good,High,2.0,Moderate,None,9.6,Frequent,Harassment
Jayanagar 4th Block 1703,12.881965,77.582732,1,34,Mixed-use,Moderate,Moderate,High,4.8,High,Mall,1.0,Rare,Robbery
MG Road 1704,12.939555,77.508718,3,12,Industrial,Low,Moderate,Low,3.7,High,Playground,2.4,Frequent,Robbery
HSR Layout 1705,12.957619,77.634292,4,27,Industrial,High,Good,Medium,2.3,High,None,4.8,Frequent,Theft
MG Road 1706,12.989825,77.506829,4,44,Industrial,Low,Good,Medium,2.7,High,None,3.0,Frequent,Harassment
Jayanagar 4th Block 1707,12.941165,77.691001,3,28,Commercial,Moderate,Moderate,Medium,2.1,High,Playground,6.2,Frequent,Assault
Indiranagar 100 Feet Road 1708,12.899992,77.532478,5,40,Commercial,High,Moderate,Low,3.6,Moderate,Playground,4.8,Rare,Vandalism
Koramangala 1st Block 1709,12.887195,77.562319,1,39,Mixed-use,Moderate,Poor,Medium,2.8,Moderate,Park,4.0,Rare,Theft
HSR Layout 1710,12.928041,77.637531,2,16,Residential,High,Poor,Low,4.2,Low,Playground,6.2,Occasional,Assault
Commercial Street 1711,12.958634,77.520432,3,40,Mixed-use,High,Good,High,1.3,Low,None,6.1,Rare,Assault
Church Street 1712,12.895456,77.696767,4,48,Residential,Low,Good,Low,1.2,Low,Mall,1.3,Occasional,Theft
HSR Layout 1713,12.857813,77.549138,2,0,Commercial,Low,Poor,High,4.4,Low,None,5.9,Rare,Assault
Commercial Street 1714,12.942412,77.578668,2,0,Industrial,High,Poor,Low,1.5,Moderate,Mall,5.1,Rare,Harassment
Church Street 1715,12.968032,77.64679,2,19,Residential,Moderate,Moderate,Medium,4.8,Moderate,Mall,8.2,Frequent,Robbery
Koramangala 1st Block 1716,12.932286,77.699483,3,32,Residential,Moderate,Moderate,Low,4.7,Moderate,None,9.2,Occasional,Theft
Whitefield Main Road 1717,12.896007,77.683511,5,33,Commercial,Low,Poor,High,2.6,Low,Park,8.4,Rare,Theft
MG Road 1718,12.93531,77.622543,2,45,Mixed-use,Low,Moderate,Medium,4.5,High,Mall,7.6,Occasional,Vandalism
Whitefield Main Road 1719,12.933037,77.624484,4,26,Industrial,High,Good,Low,3.2,Low,Mall,4.4,Occasional,Vandalism
Indiranagar 100 Feet Road 1720,12.876264,77.515643,3,36,Mixed-use,Low,Moderate,Medium,1.8,High,None,5.0,Occasional,Theft
BTM Layout 1721,12.88262,77.594669,5,22,Industrial,Moderate,Poor,Medium,4.2,High,Mall,7.1,Occasional,Harassment
MG Road 1722,12.987834,77.557471,1,28,Residential,Moderate,Moderate,Low,4.9,High,None,9.9,Occasional,Assault
Whitefield Main Road 1723,12.945581,77.638416,4,15,Industrial,High,Poor,Low,4.7,Low,None,4.7,Occasional,Robbery
MG Road 1724,12.909099,77.608284,2,9,Industrial,Moderate,Moderate,Low,1.7,Low,Park,7.8,Occasional,Theft
Brigade Road 1725,12.905781,77.646362,4,11,Residential,Moderate,Good,Medium,0.7,High,Mall,9.2,Rare,Harassment
Bannerghatta Road 1726,12.865955,77.667833,3,7,Industrial,High,Moderate,High,0.5,High,Mall,7.1,Occasional,Vandalism
Whitefield Main Road 1727,12.947148,77.627848,1,9,Commercial,Low,Moderate,High,2.0,High,Mall,7.8,Occasional,Robbery
Jayanagar 4th Block 1728,12.971289,77.626248,1,30,Commercial,Moderate,Poor,Medium,0.6,Moderate,Mall,3.2,Occasional,Theft
MG Road 1729,12.858741,77.664351,1,1,Industrial,Low,Poor,High,0.7,High,None,8.5,Occasional,Theft
Koramangala 1st Block 1730,12.963477,77.521657,3,41,Commercial,High,Good,Medium,2.1,Low,None,3.9,Rare,Assault
Koramangala 1st Block 1731,12.919409,77.611126,5,43,Mixed-use,Low,Poor,Medium,3.8,Moderate,Market,6.5,Occasional,Assault
BTM Layout 1732,12.872138,77.538698,2,17,Industrial,High,Good,High,1.1,High,Mall,8.4,Rare,Robbery
BTM Layout 1733,12.876594,77.547594,4,41,Industrial,Low,Poor,Low,0.7,Moderate,Market,9.7,Occasional,Harassment
HSR Layout 1734,12.969924,77.591975,2,49,Residential,High,Poor,Low,3.0,Low,Mall,5.6,Rare,Harassment
Commercial Street 1735,12.90132,77.679887,3,37,Industrial,Low,Poor,Low,3.0,Moderate,None,1.8,Rare,Robbery
MG Road 1736,12.982304,77.508552,1,27,Residential,Moderate,Good,High,3.3,Low,None,6.3,Occasional,Robbery
Koramangala 1st Block 1737,12.970522,77.541107,1,46,Mixed-use,Moderate,Good,High,4.6,Low,Mall,7.4,Rare,Theft
Indiranagar 100 Feet Road 1738,12.858146,77.503523,5,5,Industrial,Low,Moderate,Medium,4.3,Low,Park,8.8,Occasional,Harassment
MG Road 1739,12.888326,77.613287,4,18,Commercial,High,Good,Medium,2.6,Low,Park,5.0,Rare,Theft
BTM Layout 1740,12.894064,77.587012,5,28,Industrial,Moderate,Good,High,3.2,High,Market,3.9,Occasional,Assault
Church Street 1741,12.926194,77.698773,1,36,Residential,Moderate,Good,Low,1.3,Low,Park,6.4,Frequent,Robbery
Koramangala 1st Block 1742,12.901538,77.610546,4,21,Commercial,Moderate,Good,Low,2.1,High,Playground,3.3,Frequent,Assault
Whitefield Main Road 1743,12.903186,77.558282,1,37,Mixed-use,High,Poor,High,4.2,Moderate,Market,7.7,Occasional,Theft
Whitefield Main Road 1744,12.950037,77.507939,3,25,Residential,Moderate,Poor,High,2.9,Moderate,None,4.5,Frequent,Theft
Whitefield Main Road 1745,12.896915,77.654552,2,49,Mixed-use,High,Moderate,High,2.5,Moderate,Playground,9.8,Rare,Harassment
HSR Layout 1746,12.98639,77.603441,3,16,Industrial,Low,Good,High,4.4,Moderate,Park,9.6,Frequent,Harassment
Commercial Street 1747,12.858048,77.684546,1,17,Mixed-use,High,Poor,Low,1.1,Low,Playground,7.2,Rare,Robbery
Jayanagar 4th Block 1748,12.929858,77.608502,3,25,Residential,Low,Poor,High,0.9,Low,Market,9.2,Occasional,Harassment
MG Road 1749,12.938311,77.679053,4,40,Commercial,Low,Poor,Medium,4.1,Moderate,None,8.9,Frequent,Vandalism
Bannerghatta Road 1750,12.966616,77.650092,2,36,Mixed-use,Low,Moderate,High,2.9,High,Market,9.9,Occasional,Assault
Jayanagar 4th Block 1751,12.895241,77.557758,1,28,Industrial,Low,Poor,Low,1.1,Moderate,None,4.6,Rare,Theft
Commercial Street 1752,12.918351,77.650734,5,13,Mixed-use,Low,Moderate,High,4.3,High,Mall,7.9,Rare,Robbery
BTM Layout 1753,12.97878,77.598666,3,29,Mixed-use,Low,Moderate,Medium,1.8,Low,Market,4.1,Rare,Assault
